ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,          U-U1,       S-Mises
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3777,   7.07107E-03,   7.07107E-03,   287.500E-03,NA,NA,"",  10.00000E-03,            0.,   287.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3975,   5.87785E-03,   8.09017E-03,   300.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   300.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3941,   7.07107E-03,   7.07107E-03,   300.000E-03,NA,NA,"",  10.00000E-03,            0.,   300.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4105,   7.07107E-03,   7.07107E-03,     312.5E-03,NA,NA,"",  10.00000E-03,            0.,     312.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4139,   5.87785E-03,   8.09017E-03,     312.5E-03,NA,NA,"",  10.00000E-03,   867.362E-21,     312.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4303,   5.87785E-03,   8.09017E-03,   325.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   325.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4269,   7.07107E-03,   7.07107E-03,   325.000E-03,NA,NA,"",  10.00000E-03,            0.,   325.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4467,   5.87785E-03,   8.09017E-03,   337.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   337.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4433,   7.07107E-03,   7.07107E-03,   337.500E-03,NA,NA,"",  10.00000E-03,            0.,   337.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          4631,   5.87785E-03,   8.09017E-03,   350.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   350.000E-03,            0.,            0.
