ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,          U-U1,       S-Mises
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2955,  -3.50742E-03,  -3.56342E-03,   225.000E-03,NA,NA,"",   5.00000E-03,            0.,   225.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3178,  -2.92791E-03,  -4.05307E-03,   237.500E-03,NA,NA,"",   5.00000E-03,            0.,   237.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3119,  -3.50742E-03,  -3.56342E-03,   237.500E-03,NA,NA,"",   5.00000E-03,            0.,   237.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3283,  -3.50742E-03,  -3.56342E-03,      250.E-03,NA,NA,"",   5.00000E-03,            0.,      250.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3342,  -2.92791E-03,  -4.05307E-03,      250.E-03,NA,NA,"",   5.00000E-03,            0.,      250.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3506,  -2.92791E-03,  -4.05307E-03,   262.500E-03,NA,NA,"",   5.00000E-03,            0.,   262.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3447,  -3.50742E-03,  -3.56342E-03,   262.500E-03,NA,NA,"",   5.00000E-03,            0.,   262.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3670,  -2.92791E-03,  -4.05307E-03,   275.000E-03,NA,NA,"",   5.00000E-03,            0.,   275.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3611,  -3.50742E-03,  -3.56342E-03,   275.000E-03,NA,NA,"",   5.00000E-03,            0.,   275.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3834,  -2.92791E-03,  -4.05307E-03,   287.500E-03,NA,NA,"",   5.00000E-03,            0.,   287.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3775,  -3.50742E-03,  -3.56342E-03,   287.500E-03,NA,NA,"",   5.00000E-03,            0.,   287.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3998,  -2.92791E-03,  -4.05307E-03,   300.000E-03,NA,NA,"",   5.00000E-03,            0.,   300.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          3939,  -3.50742E-03,  -3.56342E-03,   300.000E-03,NA,NA,"",   5.00000E-03,            0.,   300.000E-03,            0.,            0.
