 Increment           1
  4.9912883E-03 -0.4484341       1.077642       10581.00    
  4.9912883E-03 -0.4484341       1.084858       10581.00    
  4.9912883E-03 -0.4484341       1.090142       10704.00    
  4.9912883E-03 -0.4484341       1.097358       10704.00    
  4.9912883E-03 -0.4484341       1.102642       10827.00    
  4.9912883E-03 -0.4484341       1.109858       10827.00    
  4.9912883E-03 -0.4484341       1.115142       10950.00    
  4.9912883E-03 -0.4484341       1.122358       10950.00    
  4.9912883E-03 -0.4484341       1.127642       11073.00    
  4.9912883E-03 -0.4484341       1.134858       11073.00    
  4.9912883E-03 -0.4484341       1.140142       11196.00    
  4.9912883E-03 -0.4484341       1.147358       11196.00    
  4.9912883E-03 -0.4484341       1.152642       11319.00    
  4.9912883E-03 -0.4484341       1.159858       11319.00    
  4.9912883E-03 -0.4484341       1.165142       11442.00    
  4.9912883E-03 -0.4484341       1.172358       11442.00    
  4.9912883E-03 -0.4484341       1.177642       11565.00    
  4.9912883E-03 -0.4484341       1.184858       11565.00    
  4.9912883E-03 -0.4484341       1.190142       11688.00    
  4.9912883E-03 -0.4484341       1.197358       11688.00    
  4.9912883E-03 -0.4484341       1.202642       11811.00    
  4.9912883E-03 -0.4484341       1.209858       11811.00    
  4.9912883E-03 -0.4484341       1.215142       11934.00    
  4.9912883E-03 -0.4484341       1.222358       11934.00    
  4.9912883E-03 -0.4484341       1.227642       12057.00    
  4.9912883E-03 -0.4484341       1.234858       12057.00    
  4.9912883E-03 -0.4484341       1.240142       12180.00    
  4.9912883E-03 -0.4484341       1.247358       12180.00    
  4.9912883E-03 -0.4484341       1.252642       12303.00    
  4.9912883E-03 -0.4484341       1.259858       12303.00    
  4.9912883E-03 -0.4484341       1.265142       12426.00    
  4.9912883E-03 -0.4484341       1.272358       12426.00    
  4.9912883E-03 -0.4484341       1.277642       12549.00    
  4.9912883E-03 -0.4484341       1.284858       12549.00    
  4.9912883E-03 -0.4484341       1.290142       12672.00    
  4.9912883E-03 -0.4484341       1.297358       12672.00    
  4.9912883E-03 -0.4484341       1.302642       12795.00    
  4.9912883E-03 -0.4484341       1.309858       12795.00    
  4.9912883E-03 -0.4484341       1.315142       12918.00    
  4.9912883E-03 -0.4484341       1.322358       12918.00    
  4.9912883E-03 -0.4484341       1.327642       13041.00    
  4.9912883E-03 -0.4484341       1.334858       13041.00    
  4.9912883E-03 -0.4484341       1.340142       13164.00    
  4.9912883E-03 -0.4484341       1.347358       13164.00    
  4.9912883E-03 -0.4484341       1.352642       13287.00    
  4.9912883E-03 -0.4484341       1.359858       13287.00    
  4.9912883E-03 -0.4484341       1.365142       13410.00    
  4.9912883E-03 -0.4484341       1.372358       13410.00    
  4.9912883E-03 -0.4484341       1.377642       13533.00    
  4.9912883E-03 -0.4484341       1.384858       13533.00    
  4.9912883E-03 -0.4484341       1.390142       13656.00    
  4.9912883E-03 -0.4484341       1.397358       13656.00    
  4.9912883E-03 -0.4484341       1.402642       13779.00    
